POS,PLAYER,Mat,Inns,NO,Runs,HS,Avg,BF,SR,100,50,4s,6s
1,ViratKohli,177,169,26,5412,113,37.84,"4,112",131.61,5,36,480,190
2,Suresh Raina,193,189,28,5368,100*,33.34,"3,914",137.14,1,38,493,194
3,Rohit Sharma,188,183,28,4898,109*,31.6,"3,744",130.82,1,36,431,194
4,David Warner,126,126,17,4706,126,43.17,"3,305",142.39,4,44,458,181
5,Shikhar Dhawan,159,158,21,4579,97*,33.42,"3,669",124.8,0,37,524,96
6,Chris Gayle,125,124,15,4484,175*,41.13,"2,969",151.02,6,28,369,326
7,MS Dhoni,190,170,65,4432,84*,42.2,"3,215",137.85,0,23,297,209
8,Robin Uthappa,177,170,17,4411,87,28.83,"3,380",130.5,0,24,435,156
9,AB de Villiers,154,142,32,4395,133*,39.95,"2,906",151.23,3,33,357,212
10,Gautam Gambhir,154,152,17,4217,93,31.23,"3,404",123.88,0,36,491,59
11,Ajinkya Rahane,140,132,16,3820,105*,32.93,"3,133",121.92,2,27,404,74
12,Dinesh Karthik,182,163,28,3654,97*,27.06,"2,815",129.8,0,18,357,101
13,Shane Watson,134,130,15,3575,117*,31.08,"2,562",139.53,4,19,343,177
14,Ambati Rayudu,147,140,25,3300,100*,28.69,"2,620",125.95,1,18,278,120
15,Yusuf Pathan,174,154,44,3204,100,29.12,"2,241",142.97,1,13,262,158
16,Brendon McCullum,109,109,5,2880,158*,27.69,"2,186",131.74,2,13,293,130
17,Parthiv Patel,139,137,11,2848,81,22.6,"2,358",120.78,0,13,365,49
18,Manish Pandey,130,120,23,2843,114*,29.3,"2,353",120.82,1,15,253,75
19,Kieron Pollard,148,135,39,2755,83,28.69,"1,877",146.77,0,14,181,176
20,Yuvraj Singh,132,126,15,2750,83,24.77,"2,120",129.71,0,13,217,149
21,Virender Sehwag,104,104,5,2728,122,27.55,"1,755",155.44,2,16,334,106
22,Murali Vijay,103,103,5,2587,127,26.39,"2,106",122.83,2,13,243,91
23,Shaun Marsh,71,69,7,2477,115,39.95,"1,866",132.74,1,20,266,78
24,Jacques Kallis,98,96,11,2427,89*,28.55,"2,222",109.22,0,17,255,44
25,Dwayne Smith,91,89,5,2385,87*,28.39,"1,764",135.2,0,17,245,117
26,Sachin Tendulkar,78,78,11,2334,100*,34.83,"1,948",119.81,1,13,295,29
27,Sanju Samson,93,89,9,2209,102*,27.61,"1,696",130.24,2,10,170,89
28,Rahul Dravid,89,82,5,2174,75*,28.23,"1,882",115.51,0,11,269,28
29,Adam Gilchrist,80,80,4,2069,109*,27.22,"1,495",138.39,2,11,239,92
30,JP Duminy,83,77,26,2029,78*,39.78,"1,636",124.02,0,14,126,79
31,Steve Smith,81,72,18,2022,101,37.44,"1,568",128.95,1,8,180,49
32,KL Rahul,67,58,11,1977,100*,42.06,"1,431",138.15,1,16,176,81
33,Michael Hussey,59,58,7,1977,116*,38.76,"1,612",122.64,1,15,198,52
34,Ravindra Jadeja,170,128,48,1927,48,24.08,"1,572",122.58,0,0,135,65
35,Faf du Plessis,71,64,5,1853,96,31.4,"1,462",126.74,0,12,163,59
36,David Miller,79,77,23,1850,101*,34.25,"1,333",138.78,1,9,126,87
37,Mahela Jayawardene,80,78,15,1802,110*,28.6,"1,462",123.25,1,10,200,39
38,Wriddhiman Saha,120,95,21,1765,115*,23.85,"1,346",131.12,1,6,160,59
39,Aaron Finch,75,73,7,1737,88*,26.31,"1,329",130.69,0,13,176,67
40,Rishabh Pant,54,54,6,1736,128*,36.16,"1,067",162.69,1,11,152,94
41,Manoj Tiwary,98,85,26,1695,75*,28.72,"1,449",116.97,0,7,156,40
42,Kumar Sangakkara,71,68,3,1687,94,25.95,"1,392",121.19,0,10,195,27
43,Shreyas Iyer,62,62,7,1681,96,30.56,"1,324",126.96,0,13,149,67
44,Naman Ojha,113,94,19,1554,94*,20.72,"1,313",118.35,0,6,121,79
45,Suryakumar Yadav,85,71,16,1548,72,28.14,"1,173",131.96,0,7,161,47
46,Mandeep Singh,97,84,15,1529,77*,22.15,"1,226",124.71,0,5,160,33
47,Dwayne Bravo,134,102,38,1483,70*,23.17,"1,156",128.28,0,5,116,61
48,Karun Nair,69,63,4,1464,83*,24.81,"1,139",128.53,0,10,158,39
49,Quinton de Kock,50,50,2,1456,108,30.33,"1,109",131.28,1,10,155,54
50,Subramaniam Badrinath,95,67,20,1441,71*,30.65,"1,212",118.89,0,11,154,28
