POS,PLAYER,Mat,Inns,Ov,Runs,Wkts,BBI,Avg,Econ,SR,4w,5w
1,LasithMalinga,122,122,471.1,"3,366",170,0,19.8,7.14,16.62,6,1
2,Amit Mishra,147,147,516.5,"3,799",157,0,24.19,7.35,19.75,3,1
3,Harbhajan Singh,160,157,562.2,"3,967",150,0,26.44,7.05,22.49,1,1
4,Piyush Chawla,157,156,520.4,"4,072",150,0,27.14,7.82,20.82,2,0
5,Dwayne Bravo,134,131,431,"3,617",147,0,24.6,8.39,17.59,2,0
6,Bhuvneshwar Kumar,117,117,435.2,"3,154",133,0,23.71,7.24,19.63,2,1
7,Ravichandran Ashwin,139,136,487.2,"3,310",125,0,26.48,6.79,23.39,1,0
8,Sunil Narine,110,109,426.2,"2,845",122,0,23.31,6.67,20.96,6,1
9,Umesh Yadav,119,118,413.2,"3,496",119,0,29.37,8.45,20.84,2,0
10,Ravindra Jadeja,170,142,415.5,"3,152",108,0,29.18,7.57,23.1,3,1
11,Ashish Nehra,88,88,318,"2,495",106,0,23.53,7.84,18,1,0
12,Vinay Kumar,105,104,353.3,"2,966",105,0,28.24,8.39,20.2,1,0
13,Zaheer Khan,100,99,366.4,"2,782",102,0,27.27,7.58,21.56,1,0
14,Yuzvendra Chahal,84,83,297.5,"2,318",100,0,23.18,7.78,17.87,2,0
15,Dale Steyn,92,92,351,"2,375",96,0,24.73,6.76,21.93,0,0
16,Sandeep Sharma,79,79,290.5,"2,272",95,0,23.91,7.81,18.36,2,0
17,Shane Watson,134,105,338.1,"2,682",92,0,29.15,7.93,22.05,1,0
18,Mohit Sharma,85,85,288.2,"2,425",91,0,26.64,8.41,19.01,1,0
19,Praveen Kumar,119,119,420.4,"3,251",90,0,36.12,7.72,28.04,0,0
20,RP Singh,82,82,295.5,"2,338",90,0,25.97,7.9,19.72,2,0
21,Pragyan Ojha,92,90,316.3,"2,332",89,0,26.2,7.36,21.33,0,0
22,Dhawal Kulkarni,90,90,290.5,"2,404",86,0,27.95,8.26,20.29,1,0
23,Albie Morkel,91,87,287.1,"2,355",85,0,27.7,8.2,20.27,1,0
24,Jasprit Bumrah,77,77,288.4,"2,181",82,0,26.59,7.55,21.12,0,0
25,Irfan Pathan,103,101,340.3,"2,649",80,0,33.11,7.77,25.53,0,0
26,Imran Tahir,55,55,204.2,"1,611",79,0,20.39,7.88,15.51,3,0
27,Morne Morkel,70,70,271.3,"2,089",77,0,27.12,7.69,21.15,1,0
28,Jaydev Unadkat,73,72,251,"2,192",77,0,28.46,8.73,19.55,0,2
29,Lakshmipathy Balaji,73,73,251.5,"2,028",76,0,26.68,8.05,19.88,3,1
30,Munaf Patel,63,63,225.5,"1,698",74,0,22.94,7.51,18.31,2,1
31,Ishant Sharma,89,89,318.5,"2,580",72,0,35.83,8.09,26.56,0,1
32,Rajat Bhatia,95,91,272.4,"2,020",71,0,28.45,7.4,23.04,1,0
33,Axar Patel,82,81,285.3,"2,129",71,0,29.98,7.45,24.12,1,0
34,Mitchell McClenaghan,56,56,212.2,"1,803",71,0,25.39,8.49,17.94,1,0
35,Chris Morris,61,61,214,"1,709",69,0,24.76,7.98,18.6,2,0
36,Ashok Dinda,78,75,251.4,"2,071",68,0,30.45,8.22,22.2,1,0
37,Siddharth Trivedi,76,75,251,"1,904",65,0,29.29,7.58,23.16,1,0
38,Jacques Kallis,98,89,290.2,"2,293",65,0,35.27,7.89,26.8,0,0
39,Muttiah Muralitharan,66,66,254,"1,696",63,0,26.92,6.67,24.19,0,0
40,Mitchell Johnson,54,54,205.2,"1,702",61,0,27.9,8.28,20.19,0,0
41,Shakib Al Hasan,63,62,221.2,"1,652",59,0,28,7.46,22.5,0,0
42,James Faulkner,60,60,204.3,"1,778",59,0,30.13,8.69,20.79,0,2
43,Shane Warne,55,54,199,"1,447",57,0,25.38,7.27,20.94,1,0
44,Kieron Pollard,148,81,199.5,"1,770",56,0,31.6,8.85,21.41,1,0
